country,org,year,month,output,worked_total_hrs
US,CS,2025,1,9954,9360
US,CS,2025,2,12421,10564
US,CS,2025,3,16953,13919
US,CS,2025,4,12926,10652
US,CS,2025,5,13880,11784
US,CS,2025,6,18404,15021
US,CS,2025,7,12427,11058
US,CS,2025,8,12246,11218
US,CS,2025,9,13018,13054
US,CS,2025,10,10729,10309
US,CS,2025,11,9254,9249
US,CS,2025,12,10188,8772
US,DP/IT,2025,1,438,4821
US,DP/IT,2025,2,579,5597
US,DP/IT,2025,3,727,7193
US,DP/IT,2025,4,563,5246
US,DP/IT,2025,5,611,5290
US,DP/IT,2025,6,651,6230
US,DP/IT,2025,7,457,4462
US,DP/IT,2025,8,463,4884
US,DP/IT,2025,9,599,5601
US,DP/IT,2025,10,436,4496
US,DP/IT,2025,11,449,4312
US,DP/IT,2025,12,356,3374
US,LVG,2025,1,247,2330
US,LVG,2025,2,310,2354
US,LVG,2025,3,386,2990
US,LVG,2025,4,324,2302
US,LVG,2025,5,309,2273
US,LVG,2025,6,319,2952
US,LVG,2025,7,248,2212
US,LVG,2025,8,261,2162
US,LVG,2025,9,313,2617
US,LVG,2025,10,294,2205
US,LVG,2025,11,242,1928
US,LVG,2025,12,199,1412
US,LUB,2025,1,294569,1878
US,LUB,2025,2,749482,2014
US,LUB,2025,3,932170,2168
US,LUB,2025,4,732748,1933
US,LUB,2025,5,487553,1846
US,LUB,2025,6,704152,2186
US,LUB,2025,7,484057,1709
US,LUB,2025,8,640651,1846
US,LUB,2025,9,650144,2198
US,LUB,2025,10,221522,1654
US,LUB,2025,11,291591,1372
US,LUB,2025,12,351055,938
US,STG,2025,1,1092481,3367
US,STG,2025,2,1357240,3758
US,STG,2025,3,1475354,4550
US,STG,2025,4,1348744,3271
US,STG,2025,5,1140554,3535
US,STG,2025,6,1288344,4051
US,STG,2025,7,1086127,3216
US,STG,2025,8,1166702,3135
US,STG,2025,9,1372468,4184
US,STG,2025,10,1170568,3286
US,STG,2025,11,975270,3275
US,STG,2025,12,848031,2511
US,SUP,2025,1,123,2132
US,SUP,2025,2,169,2312
US,SUP,2025,3,207,3179
US,SUP,2025,4,177,2045
US,SUP,2025,5,170,2144
US,SUP,2025,6,188,2622
US,SUP,2025,7,103,1942
US,SUP,2025,8,125,1995
US,SUP,2025,9,195,2858
US,SUP,2025,10,134,2155
US,SUP,2025,11,124,2037
US,SUP,2025,12,77,1455
US,WSW,2025,1,1668,2721
US,WSW,2025,2,2717,3181
US,WSW,2025,3,3033,3956
US,WSW,2025,4,2222,3145
US,WSW,2025,5,2393,3393
US,WSW,2025,6,3288,4570
US,WSW,2025,7,2065,3018
US,WSW,2025,8,1956,3344
US,WSW,2025,9,2707,4214
US,WSW,2025,10,1258,2787
US,WSW,2025,11,1707,2936
US,WSW,2025,12,1868,2665
US,WDS,2025,1,864,1034
US,WDS,2025,2,503,1095
US,WDS,2025,3,696,1411
US,WDS,2025,4,496,1051
US,WDS,2025,5,620,1223
US,WDS,2025,6,808,1624
US,WDS,2025,7,613,1153
US,WDS,2025,8,404,1164
US,WDS,2025,9,500,1466
US,WDS,2025,10,520,1268
US,WDS,2025,11,581,1091
US,WDS,2025,12,154,707
US,CS,2026,1,6616,6494
US,DP/IT,2026,1,358,3244
US,LVG,2026,1,191,1218
US,LUB,2026,1,262814,1029
US,STG,2026,1,639984,2224
US,SUP,2026,1,79,1356
US,WSW,2026,1,1069,2084
US,WDS,2026,1,211,533
US,CS,2026,2,10584,9647
US,DP/IT,2026,2,556,4886
US,LVG,2026,2,277,1774
US,LUB,2026,2,144679,1463
US,STG,2026,2,705590,3214
US,SUP,2026,2,113,1967
US,WSW,2026,2,1864,2987
US,WDS,2026,2,355,796
US,CS,2026,3,14297,12540
US,DP/IT,2026,3,602,5342
US,LVG,2026,3,351,2592
US,LUB,2026,3,541945,1848
US,STG,2026,3,1232087,4007
US,SUP,2026,3,120,2424
US,WSW,2026,3,1945,3833
US,WDS,2026,3,259,987
US,CS,2026,4,10957,9603
US,DP/IT,2026,4,442,3684
US,LVG,2026,4,236,1833
US,LUB,2026,4,199055,1348
US,STG,2026,4,872612,3171
US,SUP,2026,4,112,1724
US,WSW,2026,4,1862,3170
US,WDS,2026,4,425,809
