dj_number,op_code,manual_hrs
13458348,PRAT,1
13458374,BAR,5.378964508
13462104,PRAT,1
13463114,PRAT,1
13464310,PRAT,1
13464777,BAR,1.693243935
13489892,BAR,99.48048064
13514277,WJC,1
13514663,BAR,133.1473713
13579818,WJC,40.32392
13595228,LEV,1.5
13619919,BAR,12.04099222
13620081,BAR,10.28021176
13620094,BAR,4.086796111
13759773,BAR,17.95461214
13771894,BAR,5
13771983,BAR,5
13774162,BAR,10
13776306,BAR,0.686536926
13797954,BAR,87.30639176
13808435,BAR,28.42564568
13825273,BAR,0.549974301
13912210,BAR,2.895851169
13913196,BAR,6
13914628,BAR,7.572182217
13918410,BAR,40
13937323,APS,20
13949691,BAR,1
13973711,BCS,3
13973767,BCS,10
13977664,BCS,10
13989575,BCS,4
14000084,BAR,0.560438472
14014560,BAR,20
14014560,TRP,20
14123567,WJC,72
14136277,LEV,21
14136277,SHT,21
14138506,APS,43
14138645,CHF,100
14144918,TP1,15
14144918,SAW2,15
14144918,CHF,15
14144989,TP1,15
14144989,SAW2,15
14144989,CHF,15
14149437,QT2,50
14149437,LAB,50
14149437,APPR,50
14149437,TP1,50
14149437,ROTO,50
14149437,SAW,50
14149437,CHF,50
14159298,QT2,15
14159298,LAB,15
14159298,APPR,15
14159298,TP1,15
14159298,SAW2,15
14159298,ROTO,15
14159298,CHF,15
14206300,LEV,10
14232836,CHF,20
14232826,CHF,20
14157802,EXT,1.5
14157809,EXT,1.5
14157810,EXT,1.5
14099709,EXT,1.5
14244048,APS,4
14245320,APS,12
14249271,WJC,8
14261921,BAR,25
14264179,APS,4.25
14228000,CHF,10
14280797,EXT,1.5
14278491,LEV,1.25
14257563,LEV,3
14284706,APS,7
14275616,SHT,3.75
14287824,EXT,0.75
14293527,EXT,1.25
14290384,SHT,10.5
14300923,SHT,0.75
14290098,CHF,50
14317283,BAR,5
14317282,BAR,5
14317281,BAR,5
14309480,SHT,3
14309369,SHT,2
14302325,EXT,1
14311858,SHT,0.42
17320561,EXT,0.75
14283535,SHT,12
14330239,BAR,6.5
14329005,EXT,1.75
