org,process,process_name,include
STO,PBL,Plate Blasting,FALSE
CHA,PBL,Plate Blasting,FALSE
CLE,PBL,Plate Blasting,FALSE
HAI,PBL,Plate Blasting,TRUE
JVL,PBL,Plate Blasting,FALSE
DAL,PBL,Plate Blasting,FALSE
PHI,PBL,Plate Blasting,FALSE
TOR,PBL,Plate Blasting,FALSE
WIN,PBL,Plate Blasting,FALSE
SGP,PBL,Plate Blasting,FALSE
MXQ,PBL,Plate Blasting,FALSE
MTY,PBL,Plate Blasting,FALSE
MXM,PBL,Plate Blasting,FALSE
MCH,PBL,Plate Blasting,FALSE
ASC,PBL,Plate Blasting,FALSE
ADC,PBL,Plate Blasting,FALSE
ATL,PBL,Plate Blasting,FALSE
WIE,PBL,Plate Blasting,FALSE
ENA,PBL,Plate Blasting,FALSE
ENT,PBL,Plate Blasting,FALSE
LOS,PBL2,Plate Blasting 2,FALSE
STO,PBL2,Plate Blasting 2,FALSE
CHA,PBL2,Plate Blasting 2,FALSE
CLE,PBL2,Plate Blasting 2,FALSE
HAI,PBL2,Plate Blasting 2,TRUE
JVL,PBL2,Plate Blasting 2,FALSE
DAL,PBL2,Plate Blasting 2,FALSE
PHI,PBL2,Plate Blasting 2,FALSE
TOR,PBL2,Plate Blasting 2,FALSE
WIN,PBL2,Plate Blasting 2,FALSE
SGP,PBL2,Plate Blasting 2,FALSE
MXQ,PBL2,Plate Blasting 2,FALSE
MTY,PBL2,Plate Blasting 2,FALSE
MXM,PBL2,Plate Blasting 2,FALSE
MCH,PBL2,Plate Blasting 2,FALSE
ASC,PBL2,Plate Blasting 2,FALSE
ADC,PBL2,Plate Blasting 2,FALSE
ATL,PBL2,Plate Blasting 2,FALSE
WIE,PBL2,Plate Blasting 2,FALSE
ENA,PBL2,Plate Blasting 2,FALSE
ENT,PBL2,Plate Blasting 2,FALSE
WIN,PKG,Packaging,FALSE
SGP,PKG,Packaging,FALSE
MXQ,PKG,Packaging,FALSE
MTY,PKG,Packaging,FALSE
MXM,PKG,Packaging,FALSE
MCH,PKG,Packaging,FALSE
ASC,PKG,Packaging,FALSE
ADC,PKG,Packaging,FALSE
ATL,PKG,Packaging,FALSE
WIE,PKG,Packaging,FALSE
ENA,PKG,Packaging,FALSE
ENT,PKG,Packaging,FALSE
HAI,PKG,Packaging,TRUE
LOS,PKPR,Priority Pick Task,FALSE
STO,PKPR,Priority Pick Task,FALSE
CHA,PKPR,Priority Pick Task,FALSE
CLE,PKPR,Priority Pick Task,FALSE
HAI,PKPR,Priority Pick Task,TRUE
JVL,PKPR,Priority Pick Task,FALSE
DAL,PKPR,Priority Pick Task,FALSE
PHI,PKPR,Priority Pick Task,FALSE
TOR,PKPR,Priority Pick Task,FALSE
WIN,PKPR,Priority Pick Task,FALSE
SGP,PKPR,Priority Pick Task,FALSE
MXQ,PKPR,Priority Pick Task,FALSE
MTY,PKPR,Priority Pick Task,FALSE
MXM,PKPR,Priority Pick Task,FALSE
MCH,PKPR,Priority Pick Task,FALSE
ASC,PKPR,Priority Pick Task,FALSE
ADC,PKPR,Priority Pick Task,FALSE
ATL,PKPR,Priority Pick Task,FALSE
WIE,PKPR,Priority Pick Task,FALSE
ENA,PKPR,Priority Pick Task,FALSE
ENT,PKPR,Priority Pick Task,FALSE
LOS,PPC,Plasma Cutting,TRUE
STO,PPC,Plasma Cutting,TRUE
CHA,PPC,Plasma Cutting,TRUE
CLE,PPC,Plasma Cutting,TRUE
HAI,PPC,Plasma Cutting,TRUE
JVL,PPC,Plasma Cutting,TRUE
DAL,PPC,Plasma Cutting,TRUE
PHI,PPC,Plasma Cutting,TRUE
TOR,PPC,Plasma Cutting,TRUE
WIN,PPC,Plasma Cutting,TRUE
SGP,PPC,Plasma Cutting,TRUE
MXQ,PPC,Plasma Cutting,TRUE
MTY,PPC,Plasma Cutting,TRUE
MXM,PPC,Plasma Cutting,TRUE
MCH,PPC,Plasma Cutting,TRUE
LOS,PBL,Plate Blasting,FALSE
HAI,ROTO,RotoTest,TRUE
JVL,ROTO,RotoTest,FALSE
DAL,ROTO,RotoTest,FALSE
PHI,ROTO,RotoTest,FALSE
TOR,ROTO,RotoTest,FALSE
WIN,ROTO,RotoTest,FALSE
SGP,ROTO,RotoTest,FALSE
MXQ,ROTO,RotoTest,FALSE
MTY,ROTO,RotoTest,FALSE
MXM,ROTO,RotoTest,FALSE
MCH,ROTO,RotoTest,FALSE
ASC,ROTO,RotoTest,FALSE
ADC,ROTO,RotoTest,FALSE
ATL,ROTO,RotoTest,FALSE
WIE,ROTO,RotoTest,FALSE
ENA,ROTO,RotoTest,FALSE
ENT,ROTO,RotoTest,FALSE
LOS,SALC,Sales Order Allocation,FALSE
STO,SALC,Sales Order Allocation,FALSE
CHA,SALC,Sales Order Allocation,FALSE
CLE,SALC,Sales Order Allocation,FALSE
HAI,SALC,Sales Order Allocation,TRUE
JVL,SALC,Sales Order Allocation,FALSE
DAL,SALC,Sales Order Allocation,FALSE
PHI,SALC,Sales Order Allocation,FALSE
TOR,SALC,Sales Order Allocation,FALSE
WIN,SALC,Sales Order Allocation,FALSE
SGP,SALC,Sales Order Allocation,FALSE
MXQ,SALC,Sales Order Allocation,FALSE
MTY,SALC,Sales Order Allocation,FALSE
MXM,SALC,Sales Order Allocation,FALSE
MCH,SALC,Sales Order Allocation,FALSE
ASC,SALC,Sales Order Allocation,FALSE
ADC,SALC,Sales Order Allocation,FALSE
ATL,SALC,Sales Order Allocation,FALSE
WIE,SALC,Sales Order Allocation,FALSE
ENA,SALC,Sales Order Allocation,FALSE
ENT,SALC,Sales Order Allocation,FALSE
LOS,SAMP,OSP for Sample piece testing,FALSE
STO,SAMP,OSP for Sample piece testing,FALSE
CHA,SAMP,OSP for Sample piece testing,FALSE
CLE,SAMP,OSP for Sample piece testing,FALSE
HAI,SAMP,OSP for Sample piece testing,TRUE
JVL,SAMP,OSP for Sample piece testing,FALSE
DAL,SAMP,OSP for Sample piece testing,FALSE
PHI,SAMP,OSP for Sample piece testing,FALSE
TOR,SAMP,OSP for Sample piece testing,FALSE
WIN,SAMP,OSP for Sample piece testing,FALSE
SGP,SAMP,OSP for Sample piece testing,FALSE
MXQ,SAMP,OSP for Sample piece testing,FALSE
MTY,SAMP,OSP for Sample piece testing,FALSE
MXM,SAMP,OSP for Sample piece testing,FALSE
MCH,SAMP,OSP for Sample piece testing,FALSE
ASC,SAMP,OSP for Sample piece testing,FALSE
ADC,SAMP,OSP for Sample piece testing,FALSE
ATL,SAMP,OSP for Sample piece testing,FALSE
WIE,SAMP,OSP for Sample piece testing,FALSE
ENA,SAMP,OSP for Sample piece testing,FALSE
ENT,SAMP,OSP for Sample piece testing,FALSE
LOS,SAW,Saw,FALSE
STO,SAW,Saw,FALSE
CHA,SAW,Saw,FALSE
CLE,SAW,Saw,FALSE
HAI,SAW,Saw,TRUE
JVL,SAW,Saw,FALSE
DAL,SAW,Saw,FALSE
PHI,SAW,Saw,FALSE
TOR,SAW,Saw,FALSE
WIN,SAW,Saw,FALSE
SGP,SAW,Saw,FALSE
MXQ,SAW,Saw,FALSE
MTY,SAW,Saw,FALSE
MXM,SAW,Saw,FALSE
MCH,SAW,Saw,FALSE
ASC,SAW,Saw,FALSE
ADC,SAW,Saw,FALSE
ATL,SAW,Saw,FALSE
WIE,SAW,Saw,FALSE
ENA,SAW,Saw,FALSE
ENT,SAW,Saw,FALSE
LOS,SAW2,Cut-Length,FALSE
STO,SAW2,Cut-Length,FALSE
CHA,SAW2,Cut-Length,FALSE
CLE,SAW2,Cut-Length,FALSE
HAI,SAW2,Cut-Length,TRUE
JVL,SAW2,Cut-Length,FALSE
DAL,SAW2,Cut-Length,FALSE
PHI,SAW2,Cut-Length,FALSE
TOR,SAW2,Cut-Length,FALSE
WIN,SAW2,Cut-Length,FALSE
SGP,SAW2,Cut-Length,FALSE
MXQ,SAW2,Cut-Length,FALSE
MTY,SAW2,Cut-Length,FALSE
MXM,SAW2,Cut-Length,FALSE
MCH,SAW2,Cut-Length,FALSE
ASC,SAW2,Cut-Length,FALSE
ADC,SAW2,Cut-Length,FALSE
ATL,SAW2,Cut-Length,FALSE
WIE,SAW2,Cut-Length,FALSE
ENA,SAW2,Cut-Length,FALSE
ENT,SAW2,Cut-Length,FALSE
LOS,SHT,Shear,TRUE
STO,SHT,Shear,TRUE
CHA,SHT,Shear,TRUE
CLE,SHT,Shear,TRUE
HAI,SHT,Shear,TRUE
JVL,SHT,Shear,TRUE
DAL,SHT,Shear,TRUE
PHI,SHT,Shear,TRUE
TOR,SHT,Shear,TRUE
WIN,SHT,Shear,TRUE
SGP,SHT,Shear,TRUE
MXQ,SHT,Shear,TRUE
MTY,SHT,Shear,TRUE
MXM,SHT,Shear,TRUE
MCH,SHT,Shear,TRUE
ASC,SHT,Shear,TRUE
ADC,SHT,Shear,TRUE
ATL,SHT,Shear,TRUE
WIE,SHT,Shear,TRUE
ENA,SHT,Shear,TRUE
ENT,SHT,Shear,TRUE
LOS,SKP,Skip Grinding,FALSE
STO,SKP,Skip Grinding,FALSE
CHA,SKP,Skip Grinding,FALSE
CLE,SKP,Skip Grinding,FALSE
HAI,SKP,Skip Grinding,TRUE
JVL,SKP,Skip Grinding,FALSE
DAL,SKP,Skip Grinding,FALSE
PHI,SKP,Skip Grinding,FALSE
TOR,SKP,Skip Grinding,FALSE
WIN,SKP,Skip Grinding,FALSE
SGP,SKP,Skip Grinding,FALSE
MXQ,SKP,Skip Grinding,FALSE
MTY,SKP,Skip Grinding,FALSE
MXM,SKP,Skip Grinding,FALSE
MCH,SKP,Skip Grinding,FALSE
ASC,SKP,Skip Grinding,FALSE
ADC,SKP,Skip Grinding,FALSE
ATL,SKP,Skip Grinding,FALSE
WIE,SKP,Skip Grinding,FALSE
ENA,SKP,Skip Grinding,FALSE
ENT,SKP,Skip Grinding,FALSE
LOS,STM,Stock To Make,FALSE
STO,STM,Stock To Make,FALSE
CHA,STM,Stock To Make,FALSE
CLE,STM,Stock To Make,FALSE
HAI,STM,Stock To Make,TRUE
JVL,STM,Stock To Make,FALSE
DAL,STM,Stock To Make,FALSE
PHI,STM,Stock To Make,FALSE
TOR,STM,Stock To Make,FALSE
WIN,STM,Stock To Make,FALSE
SGP,STM,Stock To Make,FALSE
MXQ,STM,Stock To Make,FALSE
MTY,STM,Stock To Make,FALSE
MXM,STM,Stock To Make,FALSE
MCH,STM,Stock To Make,FALSE
ASC,STM,Stock To Make,FALSE
ADC,STM,Stock To Make,FALSE
ATL,STM,Stock To Make,FALSE
WIE,STM,Stock To Make,FALSE
ENA,STM,Stock To Make,FALSE
ENT,STM,Stock To Make,FALSE
LOS,STS,Stress Relieve,FALSE
STO,STS,Stress Relieve,FALSE
CHA,STS,Stress Relieve,FALSE
CLE,STS,Stress Relieve,FALSE
HAI,STS,Stress Relieve,TRUE
JVL,STS,Stress Relieve,FALSE
DAL,STS,Stress Relieve,FALSE
PHI,STS,Stress Relieve,FALSE
TOR,STS,Stress Relieve,FALSE
WIN,STS,Stress Relieve,FALSE
SGP,STS,Stress Relieve,FALSE
MXQ,STS,Stress Relieve,FALSE
MTY,STS,Stress Relieve,FALSE
MXM,STS,Stress Relieve,FALSE
MCH,STS,Stress Relieve,FALSE
ASC,STS,Stress Relieve,FALSE
ADC,STS,Stress Relieve,FALSE
ATL,STS,Stress Relieve,FALSE
WIE,STS,Stress Relieve,FALSE
ENA,STS,Stress Relieve,FALSE
ENT,STS,Stress Relieve,FALSE
LOS,SVFC,Second View Flame Cutting,FALSE
STO,SVFC,Second View Flame Cutting,FALSE
CHA,SVFC,Second View Flame Cutting,FALSE
CLE,SVFC,Second View Flame Cutting,FALSE
HAI,SVFC,Second View Flame Cutting,TRUE
JVL,SVFC,Second View Flame Cutting,FALSE
DAL,SVFC,Second View Flame Cutting,FALSE
PHI,SVFC,Second View Flame Cutting,FALSE
TOR,SVFC,Second View Flame Cutting,FALSE
WIN,SVFC,Second View Flame Cutting,FALSE
SGP,SVFC,Second View Flame Cutting,FALSE
MXQ,SVFC,Second View Flame Cutting,FALSE
MTY,SVFC,Second View Flame Cutting,FALSE
MXM,SVFC,Second View Flame Cutting,FALSE
MCH,SVFC,Second View Flame Cutting,FALSE
ASC,SVFC,Second View Flame Cutting,FALSE
ADC,SVFC,Second View Flame Cutting,FALSE
ATL,SVFC,Second View Flame Cutting,FALSE
WIE,SVFC,Second View Flame Cutting,FALSE
ENA,SVFC,Second View Flame Cutting,FALSE
ENT,SVFC,Second View Flame Cutting,FALSE
LOS,SVSC,Second View Saw Cutting,FALSE
STO,SVSC,Second View Saw Cutting,FALSE
CHA,SVSC,Second View Saw Cutting,FALSE
CLE,SVSC,Second View Saw Cutting,FALSE
HAI,SVSC,Second View Saw Cutting,TRUE
JVL,SVSC,Second View Saw Cutting,FALSE
DAL,SVSC,Second View Saw Cutting,FALSE
PHI,SVSC,Second View Saw Cutting,FALSE
TOR,SVSC,Second View Saw Cutting,FALSE
WIN,SVSC,Second View Saw Cutting,FALSE
SGP,SVSC,Second View Saw Cutting,FALSE
MXQ,SVSC,Second View Saw Cutting,FALSE
MTY,SVSC,Second View Saw Cutting,FALSE
MXM,SVSC,Second View Saw Cutting,FALSE
MCH,SVSC,Second View Saw Cutting,FALSE
ASC,SVSC,Second View Saw Cutting,FALSE
