org_number,org_name,org_code,org_country,org_vertical,org_company,org_region
2,Los Angeles,LOS,US,Aerospace,Castle,West
4,Stockton,STO,US,Industrial,Castle,West
9,Charlotte,CHA,US,Industrial,Castle,South
10,Cleveland,CLE,US,Industrial,Castle,East
11,H-A Industries,HAI,US,Industrial,Castle,Midwest
18,Janesville,JVL,US,Industrial,Castle,Midwest
27,Dallas,DAL,US,Industrial,Castle,South
29,Philadelphia,PHI,US,Industrial,Castle,East
230,Toronto,TOR,CA,Industrial,Castle,Canada
232,Winnipeg,WIN,CA,Industrial,Castle,Canada
241,Singapore,SGP,SG,Aerospace,Castle,Asia
250,Queretaro,MXQ,MX,Aerospace,Castle,Mexico
251,Monterrey,MTY,MX,Industrial,Castle,Mexico
252,Mexicali,MXM,MX,Aerospace,Castle,Mexico
255,Chihuahua,MCH,MX,Aerospace,Castle,Mexico
280,Shanghai,ASC,CN,Aerospace,Castle,Asia
281,Chengdu,ADC,CN,Aerospace,Castle,Asia
303,Kennesaw,ATL,US,Aerospace,Castle,South
304,Wichita,WIE,US,Aerospace,Castle,South
451,Nantes,ENA,FR,Aerospace,Castle,Europe
453,Tarbes,ENT,FR,Aerospace,Castle,Europe
,Carol Stream,C2,US,Industrial,Banner,Midwest
,Strongsville,C7,US,Industrial,Banner,Midwest
,Warsaw,M5,US,Medical,Banner,Medical
,Carol Stream,M3,US,Medical,Banner,Medical
,Lubbock,P8,US,Industrial,Banner,South
,Camarillo,S6,US,Aerospace,Supra,West
,Windsor,M0,US,Medical,Banner,Medical
,Windsor,S0,US,Aerospace,Supra,East
,Windsor,E0,US,Medical,Edge,Medical
,Warsaw,E5,US,Medical,Edge,Medical
,Windsor,C0,US,Industrial,Banner,East
,Nantes,E451,FR,Medical,Edge,Europe
