org,band_pct,uom,year,goal_pct,payout_usd
ADC,1.1,hrs,2024,0.1221,2
ADC,1.05,hrs,2024,0.1165,1.5
ADC,1,hrs,2024,0.111,1.15
ADC,0.95,hrs,2024,0.1054,1
ADC,0.9,hrs,2024,0.0999,0.8
ADC,0.85,hrs,2024,0.0943,0.5
ADC,0.8,hrs,2024,0.0888,0.3
ADC,0,hrs,2024,0,0
ASC,1.1,hrs,2024,0.177,2
ASC,1.05,hrs,2024,0.169,1.5
ASC,1,hrs,2024,0.1609,1.15
ASC,0.95,hrs,2024,0.1529,1
ASC,0.9,hrs,2024,0.1448,0.8
ASC,0.85,hrs,2024,0.1368,0.5
ASC,0.8,hrs,2024,0.1287,0.3
ASC,0,hrs,2024,0,0
ATL,1.1,hrs,2024,1.2529,3
ATL,1.05,hrs,2024,1.1959,2.25
ATL,1,hrs,2024,1.139,1.75
ATL,0.95,hrs,2024,1.082,1.5
ATL,0.9,hrs,2024,1.0251,1.25
ATL,0.85,hrs,2024,0.9681,0.75
ATL,0.8,hrs,2024,0.9112,0.5
ATL,0,hrs,2024,0,0
CHA,1.1,hrs,2024,0.9707,3
CHA,1.05,hrs,2024,0.9265,2.25
CHA,1,hrs,2024,0.8824,1.75
CHA,0.95,hrs,2024,0.8383,1.5
CHA,0.9,hrs,2024,0.7942,1.25
CHA,0.85,hrs,2024,0.7501,0.75
CHA,0.8,hrs,2024,0.7059,0.5
CHA,0,hrs,2024,0,0
CLE,1.1,hrs,2024,0.4025,3
CLE,1.05,hrs,2024,0.3842,2.25
CLE,1,hrs,2024,0.3659,1.75
CLE,0.95,hrs,2024,0.3476,1.5
CLE,0.9,hrs,2024,0.3293,1.25
CLE,0.85,hrs,2024,0.311,0.75
CLE,0.8,hrs,2024,0.2927,0.5
CLE,0,hrs,2024,0,0
DAL,1.1,hrs,2024,0.7519,3
DAL,1.05,hrs,2024,0.7177,2.25
DAL,1,hrs,2024,0.6835,1.75
DAL,0.95,hrs,2024,0.6493,1.5
DAL,0.9,hrs,2024,0.6152,1.25
DAL,0.85,hrs,2024,0.581,0.75
DAL,0.8,hrs,2024,0.5468,0.5
DAL,0,hrs,2024,0,0
ENA,1.1,hrs,2024,1.6564,2
ENA,1.05,hrs,2024,1.5811,1.5
ENA,1,hrs,2024,1.5058,1.15
ENA,0.95,hrs,2024,1.4305,1
ENA,0.9,hrs,2024,1.3552,0.8
ENA,0.85,hrs,2024,1.2799,0.5
ENA,0.8,hrs,2024,1.2046,0.3
ENA,0,hrs,2024,0,0
ENT,1.1,hrs,2024,0.4636,2
ENT,1.05,hrs,2024,0.4425,1.5
ENT,1,hrs,2024,0.4214,1.15
ENT,0.95,hrs,2024,0.4004,1
ENT,0.9,hrs,2024,0.3793,0.8
ENT,0.85,hrs,2024,0.3582,0.5
ENT,0.8,hrs,2024,0.3371,0.3
ENT,0,hrs,2024,0,0
HAI,1.1,hrs,2024,0.5178,3
HAI,1.05,hrs,2024,0.4943,2.25
HAI,1,hrs,2024,0.4707,1.75
HAI,0.95,hrs,2024,0.4472,1.5
HAI,0.9,hrs,2024,0.4236,1.25
HAI,0.85,hrs,2024,0.4001,0.75
HAI,0.8,hrs,2024,0.3766,0.5
HAI,0,hrs,2024,0,0
JVL,1.1,hrs,2024,0.8463,3
JVL,1.05,hrs,2024,0.8078,2.25
JVL,1,hrs,2024,0.7693,1.75
JVL,0.95,hrs,2024,0.7309,1.5
JVL,0.9,hrs,2024,0.6924,1.25
