item,wpl_uom,wpl
3,LBS_PER_SFT,25.524
4,LBS_PER_SFT,25.524
17,LBS_PER_FT,0.376
26,LBS_PER_SFT,30.629
30,LBS_PER_FT,0.668
39,LBS_PER_FT,1.059
47,LBS_PER_FT,1.524
49,LBS_PER_FT,1.524
57,LBS_PER_FT,267.04
58,LBS_PER_FT,305.76
59,LBS_PER_FT,4.603
60,LBS_PER_FT,2.704
63,LBS_PER_FT,3.421
65,LBS_PER_FT,335.76
68,LBS_PER_FT,4.223
69,LBS_PER_FT,4.223
72,LBS_PER_FT,5.11
77,LBS_PER_FT,6.086
80,LBS_PER_FT,7.146
81,LBS_PER_FT,358.444
84,LBS_PER_FT,8.279
88,LBS_PER_FT,9.497
91,LBS_PER_FT,5.59
92,LBS_PER_FT,10.797
96,LBS_PER_FT,6.008
97,LBS_PER_FT,3.015
98,LBS_PER_FT,2.04
99,LBS_PER_SFT,16.496
100,LBS_PER_FT,13.781
102,LBS_PER_SFT,21.663
103,LBS_PER_SFT,26.831
104,LBS_PER_SFT,32.123
106,LBS_PER_SFT,42.665
107,LBS_PER_FT,16.981
108,LBS_PER_FT,16.981
109,LBS_PER_SFT,53.00228125
111,LBS_PER_FT,18.861
112,LBS_PER_FT,20.677
114,LBS_PER_SFT,63.337
116,LBS_PER_FT,22.576
117,LBS_PER_SFT,84.008
118,LBS_PER_FT,24.056
119,LBS_PER_FT,24.559
120,LBS_PER_FT,24.559
121,LBS_PER_FT,24.559
122,LBS_PER_FT,26.625
123,LBS_PER_FT,26.625
124,LBS_PER_FT,28.774
125,LBS_PER_FT,28.774
127,LBS_PER_FT,28.774
129,LBS_PER_FT,32.71
130,LBS_PER_FT,33.324
131,LBS_PER_FT,33.324
132,LBS_PER_FT,32.71
133,LBS_PER_FT,35.937
134,LBS_PER_FT,35.937
135,LBS_PER_FT,35.937
136,LBS_PER_FT,38.428
137,LBS_PER_FT,38.428
138,LBS_PER_SFT,105.113
139,LBS_PER_FT,38.428
140,LBS_PER_FT,43.66
141,LBS_PER_FT,43.66
